"date","stationReference","daily_rainfall","lat","long"
2023-09-01,"3641",0,52.738326,-1.320862
2023-09-01,"3642",0,52.762972,-1.234524
2023-09-01,"3652",0,52.836792,-1.251041
2023-09-01,"3683",0.2,52.697431,-1.117291
2023-09-01,"3686",0.4,52.544833,-1.031877
2023-09-01,"3687",0.8,52.723063,-0.765859
2023-09-01,"3688",0,52.6315,-1.077247
2023-09-01,"3766",0.2,53.005795,-1.251101
2023-09-01,"3767",0.4,53.022009,-1.417793
2023-09-01,"3771",0.2,52.948025,-1.088386
2023-09-01,"3773",0.4,53.032232,-1.050823
2023-09-01,"3774",0.2,53.579885,-0.869434
2023-09-01,"3775",0.2,53.07731,-1.190151
2023-09-01,"3778",0.8,52.687955,-1.796533
2023-09-01,"3779",0,53.591168,-0.7392
2023-09-01,"3781",0.4,52.49028,-1.866665
2023-09-01,"3782",0.2,52.736673,-1.993285
2023-09-01,"380002TP",17.4,51.571638,-0.289354
2023-09-01,"3816",0.6,53.130665,-1.23847
2023-09-01,"3860",0.4,53.407215,-1.191422
2023-09-01,"3861",0.4,53.521199,-1.045964
2023-09-01,"3996",0.4,52.897989,-0.911045
2023-09-01,"3998",0.2,53.396184,-0.931457
2023-09-01,"3999",0.6,52.564065,-1.199634
2023-09-01,"417417TP",1.7,51.466604,-0.571144
2023-09-01,"43102",2.198,51.067961,-2.063451
2023-09-01,"43103",2.786,51.164146,-1.894828
2023-09-01,"43104",3.7,51.220377,-1.669896
2023-09-01,"43105",9.729,51.358394,-1.927417
2023-09-01,"43200",2.1,51.044768,-2.4129
2023-09-01,"43201",4.4,51.085428,-2.353299
2023-09-01,"43202",0.5,50.896473,-2.390258
2023-09-01,"43203",0.8,51.03167,-2.281587
2023-09-01,"43204",1,50.864669,-2.139905
2023-09-01,"43205",0.6,50.755028,-1.936857
2023-09-01,"43206",1.3,50.755798,-1.814938
2023-09-01,"43228",1,50.968057,-2.158729
2023-09-01,"44100",0.9,50.778033,-2.848812
2023-09-01,"44101",3.8,50.800366,-2.738533
2023-09-01,"44103",0.9,50.707087,-2.698828
2023-09-01,"44104",1.599,50.670369,-2.493095
2023-09-01,"44132",2,50.658982,-2.415165
2023-09-01,"44200",1.598,50.837132,-2.59994
2023-09-01,"44201",1.8,50.613852,-1.958246
2023-09-01,"44213",2.9,50.825864,-2.686403
2023-09-01,"44214",2.1,50.842091,-2.502005
2023-09-01,"44215",2.2,50.743404,-2.638425
2023-09-01,"45100",1,51.161592,-3.769689
2023-09-01,"45102",3.8,51.129849,-3.534087
2023-09-01,"45108",0.7,50.884946,-3.487642
2023-09-01,"45115",0.5,50.601997,-3.530985
